#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 08 06 21 30 999 99.0 99.0  0.30  2.40 99.00 214 1014.1  26.1  22.9  20.0 99.0 99.00
2021 08 06 21 40 999 99.0 99.0  0.26  2.41 99.00 215 1014.2  26.3  22.9  19.8 99.0 99.00
2021 08 06 21 50 999 99.0 99.0  0.28 99.00 99.00 236 1014.1  25.5  22.9  19.9 99.0 99.00
2021 08 06 22 00 999 99.0 99.0  0.31 99.00 99.00 237 1014.1  25.3  22.9  20.3 99.0 99.00
2021 08 06 22 10 999 99.0 99.0  0.30 99.00 99.00 221 1014.0  25.3  22.8  20.3 99.0 99.00
2021 08 06 22 20 999 99.0 99.0  0.33 99.00 99.00 223 1014.0  25.6  22.8  20.1 99.0 99.00
2021 08 06 22 30 999 99.0 99.0  0.40  2.48 99.00 206 1013.9  25.6  22.8  19.7 99.0 99.00
2021 08 06 22 40 999 99.0 99.0  0.38  2.30 99.00 200 1013.8  25.7  22.8  19.8 99.0 99.00
2021 08 06 22 50 999 99.0 99.0  0.41  2.59 99.00 206 1013.7  25.6  22.8  19.6 99.0 99.00
2021 08 06 23 00 999 99.0 99.0  0.39  2.39 99.00 208 1013.6  25.7  22.8  19.7 99.0 99.00
2021 08 06 23 10 999 99.0 99.0  0.38  2.42 99.00 202 1013.7  25.5  22.8  19.8 99.0 99.00
2021 08 06 23 20 999 99.0 99.0  0.37  2.49 99.00 207 1013.7  25.8  22.8  19.8 99.0 99.00
2021 08 06 23 30 999 99.0 99.0  0.41  2.52 99.00 209 1013.8  25.8  22.8  19.9 99.0 99.00
2021 08 06 23 40 999 99.0 99.0  0.39  2.28 99.00 211 1013.9  25.7  22.8  19.9 99.0 99.00
2021 08 06 23 50 999 99.0 99.0  0.38  2.23 99.00 211 1014.1  25.7  22.8  19.8 99.0 99.00
2021 08 07 00 00 999 99.0 99.0  0.36  2.06 99.00 211 1014.2  25.7  22.8  19.8 99.0 99.00
2021 08 07 00 10 999 99.0 99.0  0.33  2.20 99.00 212 1014.2  25.5  22.8  20.0 99.0 99.00
2021 08 07 00 20 999 99.0 99.0  0.31  2.38 99.00 221 1014.3  25.5  22.8  19.9 99.0 99.00
2021 08 07 00 30 999 99.0 99.0  0.32  2.40 99.00 214 1014.3  25.4  22.8  20.1 99.0 99.00
2021 08 07 00 40 999 99.0 99.0  0.33  2.55 99.00 199 1014.5  25.1  22.8  20.4 99.0 99.00
2021 08 07 00 50 999 99.0 99.0  0.30  2.34 99.00 209 1014.7  24.9  22.8  20.3 99.0 99.00
2021 08 07 01 00 999 99.0 99.0  0.29  2.35 99.00 193 1014.6  25.0  22.8  20.3 99.0 99.00
2021 08 07 01 10 999 99.0 99.0  0.33  2.84 99.00 207 1014.7  25.0  22.7  20.3 99.0 99.00
2021 08 07 01 20 999 99.0 99.0  0.29  2.33 99.00 206 1014.9  25.0  22.7  20.3 99.0 99.00
2021 08 07 01 30 999 99.0 99.0  0.25  2.06 99.00 196 1015.0  24.8  22.7  20.5 99.0 99.00
2021 08 07 01 40 999 99.0 99.0  0.27  2.36 99.00 195 1015.1  24.7  22.7  20.5 99.0 99.00
2021 08 07 01 50 999 99.0 99.0  0.22 99.00 99.00 215 1015.3  24.9  22.7  20.4 99.0 99.00
2021 08 07 02 00 999 99.0 99.0  0.25  2.43 99.00 221 1015.7  24.7  22.7  20.6 99.0 99.00
2021 08 07 02 10 999 99.0 99.0  0.22  2.22 99.00 206 1016.0  24.7  22.7  20.7 99.0 99.00
2021 08 07 02 20 999 99.0 99.0  0.20  2.30 99.00 201 1017.0  23.1  22.7  19.0 99.0 99.00
2021 08 07 02 30 999 99.0 99.0  0.39  2.30 99.00 342 1017.2  21.5  22.7  18.5 99.0 99.00
2021 08 07 02 40 999 99.0 99.0  0.60  2.99 99.00 347 1017.3  21.2  22.7  18.5 99.0 99.00
2021 08 07 02 50 999 99.0 99.0  0.67  3.05 99.00 351 1017.5  21.1  22.7  18.6 99.0 99.00
2021 08 07 03 00 999 99.0 99.0  0.84  3.19 99.00 352 1017.7  21.0  22.6  18.5 99.0 99.00
2021 08 07 03 10 999 99.0 99.0  0.89  3.74 99.00 356 1017.7  21.1  22.6  18.4 99.0 99.00
2021 08 07 03 20 999 99.0 99.0  0.97  4.04 99.00 354 1017.3  21.1  22.6  18.4 99.0 99.00
2021 08 07 03 30 999 99.0 99.0  0.98  4.27 99.00 357 1017.1  21.3  22.6  18.5 99.0 99.00
2021 08 07 03 40 999 99.0 99.0  0.89  4.10 99.00 355 1016.8  21.5  22.5  18.0 99.0 99.00
